@relation InstanceResultListener

@attribute Key_Dataset {Example1-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,Example1-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R3-6,Example1-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R7}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48,weka.classifiers.lazy.IBk,weka.classifiers.rules.PART,weka.classifiers.rules.ZeroR,weka.classifiers.bayes.NaiveBayes}
@attribute Key_Scheme_options {'-C 0.25 -M 2','-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',''}
@attribute Key_Scheme_version_ID {-217733168393644444,-3080186098777067172,8121455039782598361,48055541465867954,5995231201785697655}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 76\nSize of the tree: 86\n','Number of leaves: 63\nSize of the tree: 72\n','Number of leaves: 72\nSize of the tree: 81\n','Number of leaves: 84\nSize of the tree: 95\n','Number of leaves: 84\nSize of the tree: 94\n','Number of leaves: 64\nSize of the tree: 74\n','Number of leaves: 68\nSize of the tree: 76\n','Number of leaves: 75\nSize of the tree: 85\n','Number of leaves: 70\nSize of the tree: 80\n','Number of leaves: 77\nSize of the tree: 87\n','Number of leaves: 71\nSize of the tree: 80\n','Number of leaves: 83\nSize of the tree: 94\n','Number of leaves: 96\nSize of the tree: 106\n','Number of leaves: 85\nSize of the tree: 96\n','Number of leaves: 73\nSize of the tree: 83\n','Number of leaves: 79\nSize of the tree: 88\n','Number of leaves: 83\nSize of the tree: 93\n','Number of leaves: 100\nSize of the tree: 111\n','Number of leaves: 91\nSize of the tree: 100\n','Number of leaves: 91\nSize of the tree: 99\n','Number of leaves: 80\nSize of the tree: 89\n','Number of leaves: 87\nSize of the tree: 95\n','Number of leaves: 99\nSize of the tree: 109\n','Number of leaves: 96\nSize of the tree: 105\n','Number of leaves: 83\nSize of the tree: 90\n','Number of leaves: 90\nSize of the tree: 99\n','Number of leaves: 82\nSize of the tree: 91\n','Number of leaves: 85\nSize of the tree: 95\n','Number of leaves: 86\nSize of the tree: 94\n','Number of leaves: 92\nSize of the tree: 101\n','Number of leaves: 98\nSize of the tree: 108\n','Number of leaves: 108\nSize of the tree: 117\n','Number of leaves: 100\nSize of the tree: 110\n','Number of leaves: 95\nSize of the tree: 104\n','Number of leaves: 92\nSize of the tree: 103\n','Number of leaves: 112\nSize of the tree: 122\n','Number of leaves: 91\nSize of the tree: 102\n','Number of rules: 21\n','Number of rules: 20\n','Number of rules: 18\n','Number of rules: 22\n','Number of rules: 19\n','Number of rules: 25\n','Number of rules: 23\n','Number of rules: 24\n','Number of rules: 17\n','Number of rules: 26\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

Example1-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210226.2151,491,55,55,0,0,100,0,0,1,0.001616,0.013401,0.843903,4.353824,78.437163,0.33985,78.097313,1.42613,0.006179,1.419951,78.097313,1.419951,99.566723,1,39,0,0,1,16,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,26390,77241,12277,100,20.727273,'Number of leaves: 76\nSize of the tree: 86\n',86,76,76
Example1-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210226.2151,491,55,50,5,0,90.909091,9.090909,0,0.808229,0.033758,0.154948,17.627032,50.342473,78.437163,13.311772,65.125391,1.42613,0.242032,1.184098,65.70799,1.194691,83.771503,1,39,0,0,1,16,0,0,1,1,1,1,1,1,0.909091,0.008731,0.991269,0.090909,0.905455,0.909091,0.905969,0.897697,0.993423,0.941216,0.786869,0.909091,0,0,0,0,0,0,23002,77241,12277,100,23.272727,'Number of leaves: 63\nSize of the tree: 72\n',72,63,63
Example1-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210226.2151,491,55,51,4,0,92.727273,7.272727,0,0.845506,0.023636,0.138717,12.342087,45.069181,78.437163,9.754888,68.682276,1.42613,0.177362,1.248769,68.682276,1.248769,87.563437,1,39,0,0,1,16,0,0,1,1,1,1,1,1,0.927273,0.008105,0.991895,0.072727,0.927273,0.927273,0.917576,0.916839,0.99893,0.989091,0.76,0.927273,0,0,0,0,0,0,26390,77241,12277,100,21.454545,'Number of leaves: 76\nSize of the tree: 86\n',86,76,76
Example1-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210226.2151,491,55,54,1,0,98.181818,1.818182,0,0.961646,0.011152,0.091497,5.822933,29.727408,78.437163,1074.906891,-996.469727,1.42613,19.543762,-18.117631,74.296955,1.350854,94.721624,1,39,0,0,1,16,0,0,1,1,1,1,1,1,0.981818,0.001426,0.998574,0.018182,0.985455,0.981818,0.982002,0.981175,0.989654,0.963499,0.959596,0.981818,0,0,0,0,0,0,26390,77241,12277,98.181818,20.727273,'Number of leaves: 76\nSize of the tree: 86\n',86,76,76
Example1-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210226.2151,491,55,53,2,0,96.363636,3.636364,0,0.923184,0.016242,0.113173,8.481229,36.769845,78.437163,1077.058894,-998.621731,1.42613,19.582889,-18.156759,72.144952,1.311726,91.978023,1,39,0,0,1,16,0,0,1,1,1,1,1,1,0.963636,0.003652,0.996348,0.036364,0.963636,0.963636,0.963636,0.959984,0.98929,0.960468,0.916667,0.963636,0,0,0,0,0,0,26390,77241,12277,98.181818,21.090909,'Number of leaves: 76\nSize of the tree: 86\n',86,76,76
Example1-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210226.2151,491,55,54,1,0,98.181818,1.818182,0,0.963186,0.01,0.087256,5.121274,27.738166,80.981035,1074.577935,-993.5969,1.472382,19.537781,-18.065398,75.311491,1.3693,92.998924,1,38,0,0,1,17,0,0,1,1,1,1,1,1,0.981818,0.001426,0.998574,0.018182,0.985455,0.981818,0.979798,0.980791,0.989661,0.962479,0.911111,0.981818,0,0,0,0,0,0,25180,77241,12277,98.181818,21.090909,'Number of leaves: 72\nSize of the tree: 81\n',81,72,72
Example1-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210226.2151,492,54,54,0,0,100,0,0,1,0.004115,0.031717,2.142223,10.268646,75.997529,0.924813,75.072717,1.407362,0.017126,1.390235,75.072717,1.390235,98.783102,1,38,0,0,1,16,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,26390,77390,12128,100,21.111111,'Number of leaves: 76\nSize of the tree: 86\n',86,76,76
Example1-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210226.2151,492,54,54,0,0,100,0,0,1,0,0,0,0,75.997529,0,75.997529,1.407362,0,1.407362,75.997529,1.407362,100,1,38,0,0,1,16,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,26390,77390,12128,100,20,'Number of leaves: 76\nSize of the tree: 86\n',86,76,76
Example1-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210226.2151,492,54,53,1,0,98.148148,1.851852,0,0.961235,0.005455,0.055442,2.839419,17.949889,75.997529,1.611435,74.386094,1.407362,0.029841,1.37752,74.386094,1.37752,97.879622,1,38,0,0,1,16,0,0,1,1,1,1,1,1,0.981481,0.001481,0.998519,0.018519,0.985185,0.981481,0.981798,0.980641,1,1,0.962393,0.981481,0,0,0,0,0,0,25180,77390,12128,100,20.740741,'Number of leaves: 72\nSize of the tree: 81\n',81,72,72
