@relation Example1 
@attribute PosX numeric 
@attribute PosY numeric 
@attribute isNorthLegal {True, False} 
@attribute isEastLegal {True, False} 
@attribute isSouthLegal {True, False} 
@attribute isWestLegal {True, False} 
@attribute Direction {Stop, North, South, East, West} 
@attribute Ghost1X numeric 
@attribute Ghost1Y numeric 
@attribute Ghost1Distance numeric 
@attribute Ghost2X numeric 
@attribute Ghost2Y numeric 
@attribute Ghost2Distance numeric 
@attribute Ghost3X numeric 
@attribute Ghost3Y numeric 
@attribute Ghost3Distance numeric 
@attribute Ghost4X numeric 
@attribute Ghost4Y numeric 
@attribute Ghost4Distance numeric  
@attribute NumberOfDots numeric 
@attribute NearestDotDistance numeric 
@attribute CurrentScore numeric 
@attribute FutureScore numeric 
@attribute FutureDirection {Stop, North, South, East, West} 
@data 
12,10,True,True,True,True,Stop,5,6,11,5,12,9,13,6,5,13,12,3,1,7,0,-1,Stop
12,10,True,True,True,True,Stop,5,6,11,5,12,9,13,6,5,13,12,3,1,7,-1,-2,Stop
12,10,True,True,True,True,Stop,5,6,11,5,12,9,13,6,5,13,12,3,1,7,-2,-3,Stop
12,10,True,True,True,True,Stop,5,6,11,5,12,9,13,6,5,13,12,3,1,7,-3,-4,East
13,10,True,True,True,True,East,5,6,12,5,12,10,13,6,4,13,12,2,1,6,-4,-5,East
14,10,True,True,True,True,East,5,6,13,5,12,11,13,6,5,13,12,3,1,5,-5,-6,East
15,10,True,True,True,True,East,5,6,14,5,12,12,13,6,6,13,12,4,1,4,-6,-7,East
16,10,True,True,True,True,East,5,6,15,5,12,13,13,6,7,13,12,5,1,3,-7,-8,East
17,10,True,True,True,True,East,5,6,16,5,12,14,13,6,8,13,12,6,1,2,-8,-9,East
18,10,True,False,True,True,East,5,6,17,5,12,15,13,6,9,13,12,7,1,1,-9,90,South
18,9,True,False,True,True,South,5,6,16,5,12,16,13,6,8,13,12,8,0,?,90,89,South
18,8,True,False,True,True,South,5,6,15,5,12,17,13,6,7,13,12,9,0,?,89,88,South
18,7,True,False,True,True,South,5,6,14,5,12,18,13,6,6,13,12,10,0,?,88,87,South
18,6,True,False,True,True,South,5,6,13,5,12,19,13,6,5,13,12,11,0,?,87,86,West
17,6,True,True,True,True,West,5,6,12,5,12,18,13,6,4,13,12,10,0,?,86,85,West
16,6,True,True,True,True,West,5,6,11,5,12,17,13,6,3,13,12,9,0,?,85,84,West
15,6,True,True,True,True,West,5,6,10,5,12,16,13,6,2,13,12,8,0,?,84,83,West
14,6,True,True,True,True,West,5,6,9,5,12,15,13,6,1,13,12,7,0,?,83,282,West
13,6,True,True,True,True,West,5,6,8,5,12,14,5,1,?,13,12,6,0,?,282,281,West
12,6,True,True,True,True,West,5,6,7,5,12,13,5,1,?,13,12,7,0,?,281,280,West
11,6,True,True,True,True,West,5,6,6,5,12,12,5,1,?,13,12,8,0,?,280,279,West
10,6,True,True,True,True,West,5,6,5,5,12,11,5,1,?,13,12,9,0,?,279,278,West
9,6,True,True,True,True,West,5,6,4,5,12,10,5,1,?,13,12,10,0,?,278,277,West
8,6,True,True,True,True,West,5,6,3,5,12,9,5,1,?,13,12,11,0,?,277,276,West
7,6,True,True,True,True,West,5,6,2,5,12,8,5,1,?,13,12,12,0,?,276,275,West
6,6,True,True,True,True,West,5,6,1,5,12,7,5,1,?,13,12,13,0,?,275,474,West
5,6,True,True,True,True,West,1,1,?,5,12,6,5,1,?,13,12,14,0,?,474,473,North
5,7,True,True,True,True,North,1,1,?,5,12,5,5,1,?,13,12,13,0,?,473,472,North
5,8,True,True,True,True,North,1,1,?,5,12,4,5,1,?,13,12,12,0,?,472,471,North
5,9,False,True,True,True,North,1,1,?,5,12,3,5,1,?,13,12,11,0,?,471,470,East
6,9,True,True,True,True,East,1,1,?,5,12,4,5,1,?,13,12,10,0,?,470,469,North
6,10,True,True,True,False,North,1,1,?,5,12,3,5,1,?,13,12,9,0,?,469,468,North
6,11,True,True,True,True,North,1,1,?,5,12,2,5,1,?,13,12,8,0,?,468,467,North
6,12,True,True,True,True,North,1,1,?,5,12,1,5,1,?,13,12,7,0,?,467,666,West
5,12,True,True,True,True,West,1,1,?,3,1,?,5,1,?,13,12,8,0,?,666,665,East
6,12,True,True,True,True,East,1,1,?,3,1,?,5,1,?,13,12,7,0,?,665,664,East
7,12,True,True,True,True,East,1,1,?,3,1,?,5,1,?,13,12,6,0,?,664,663,East
8,12,True,True,True,True,East,1,1,?,3,1,?,5,1,?,13,12,5,0,?,663,662,East
9,12,True,True,True,True,East,1,1,?,3,1,?,5,1,?,13,12,4,0,?,662,661,East
10,12,True,True,True,True,East,1,1,?,3,1,?,5,1,?,13,12,3,0,?,661,660,East
11,12,True,True,True,True,East,1,1,?,3,1,?,5,1,?,13,12,2,0,?,660,659,East
12,12,True,True,True,True,East,1,1,?,3,1,?,5,1,?,13,12,1,0,?,659,0,Stop
1,18,False,True,True,False,Stop,5,9,13,11,3,25,17,6,28,25,13,29,0,?,0,-1,Stop
1,18,False,True,True,False,Stop,5,9,13,11,3,25,17,6,28,25,13,29,0,?,-1,-2,Stop
1,18,False,True,True,False,Stop,5,9,13,11,3,25,17,6,28,25,13,29,0,?,-2,-3,East
2,18,False,True,False,True,East,5,9,12,11,3,24,17,6,27,25,13,28,0,?,-3,-4,East
3,18,False,True,False,True,East,5,9,11,11,3,23,17,6,26,25,13,27,0,?,-4,-5,East
4,18,False,True,False,True,East,5,9,10,11,3,22,17,6,25,25,13,26,0,?,-5,-6,East
5,18,False,True,False,True,East,5,9,9,11,3,21,17,6,24,25,13,25,0,?,-6,-7,East
6,18,False,True,False,True,East,5,9,10,11,3,20,17,6,23,25,13,24,0,?,-7,-8,East
7,18,False,True,False,True,East,5,9,11,11,3,19,17,6,22,25,13,23,0,?,-8,-9,East
8,18,False,True,False,True,East,5,9,12,11,3,18,17,6,21,25,13,22,0,?,-9,-10,East
9,18,False,True,False,True,East,5,9,13,11,3,17,17,6,20,25,13,21,0,?,-10,-11,East
10,18,False,True,False,True,East,5,9,14,11,3,16,17,6,19,25,13,20,0,?,-11,-12,East
11,18,False,True,False,True,East,5,9,15,11,3,15,17,6,18,25,13,19,0,?,-12,-13,East
12,18,False,True,False,True,East,5,9,16,11,3,16,17,6,17,25,13,18,0,?,-13,-14,East
13,18,False,True,False,True,East,5,9,17,11,3,17,17,6,16,25,13,17,0,?,-14,-15,East
